Month,Price,,,,
2/1/2013,1627.57,,,,
3/1/2013,1593.09,,,,
4/1/2013,1487.86,,,,
5/1/2013,1414.03,,,,
6/1/2013,1343.35,,,,
7/1/2013,1285.52,,,,
8/1/2013,1351.74,,,,
9/1/2013,1348.6,,,,
10/1/2013,1316.58,,,,
11/1/2013,1275.86,,,,
12/1/2013,1221.51,,,,
1/1/2014,1244.27,,,,
2/1/2014,1299.58,,,,
3/1/2014,1336.08,,,,
4/1/2014,1298.45,,,,
5/1/2014,1288.74,,,,
6/1/2014,1277.38,,,,
7/1/2014,1310.59,,,,
8/1/2014,1295.13,,,,
9/1/2014,1236.55,,,,
10/1/2014,1222.49,,,,
11/1/2014,1175.33,,,,
12/1/2014,1200.62,,,,
1/1/2015,1250.75,,,,
2/1/2015,1227.08,,,,
3/1/2015,1178.63,,,,
4/1/2015,1198.93,,,,
5/1/2015,1198.63,,,,
6/1/2015,1181.5,,,,
7/1/2015,1128.31,,,,
8/1/2015,1117.93,,,,
9/1/2015,1124.77,,,,
10/1/2015,1159.25,,,,
11/1/2015,1086.44,,,,
12/1/2015,1075.74,,,,
1/1/2016,1097.91,,,,
2/1/2016,1199.5,,,,
3/1/2016,1245.14,,,,
4/1/2016,1242.26,,,,
5/1/2016,1260.95,,,,
6/1/2016,1276.4,,,,
7/1/2016,1336.65,,,,
8/1/2016,1340.17,,,,
9/1/2016,1326.61,,,,
10/1/2016,1266.55,,,,
11/1/2016,1238.35,,,,
12/1/2016,1157.36,,,,
1/1/2017,1192.1,,,,
2/1/2017,1234.2,,,,
3/1/2017,1231.42,,,,
4/1/2017,1266.88,,,,
5/1/2017,1246.04,,,,
6/1/2017,1260.26,,,,
7/1/2017,1236.85,,,,
8/1/2017,1283.04,,,,
9/1/2017,1314.07,,,,
10/1/2017,1279.51,,,,
11/1/2017,1281.9,,,,
12/1/2017,1264.45,,,,
1/1/2018,1331.3,,,,
2/1/2018,1340.5,,,,
3/1/2018,1310.35,,,,
